COSMICClust	COSMICDisp	COSMICNonSig	ExACClust	ExACDisp	ExACNonSig	MultiClust	MultiSeg	MultiCorr
		2R2PA			3IF8B			
		4JNKC			1KCGB			
		4IM6A			3RL0G			
		2AZEA			1JPYA			
		3ZFXG			1Z8DA			
		2NLLB			1S31A			
		4H8SC			4L1DB			
		1UHPA			1WVOA			
		2K40A			2FH7A			
		2XDVA			2GWFF			
		3SP8B			3NR5A			
		2FJ9A			3K1ZA			
		3AHRA			2V64A			
		3NA0B			2W2JA			
		2WYAC			1WLZC			
		3U1KD			3T6JA			
		1YK0B			2LEOA			
		2O8DB			3JUIA			
		1CB5C			3PZ7A			
		1LHWA			2H2BA			
		3ALOA			2HNXA			
		4NH9A			3G65C			
		1F05A			3OHVF			
		3L6BA			2DASA			
		4I1HA			1ESRA			
		4BZCA			3RI4A			
		2HZPA			2HQ6A			
		2C47D			3GLSA			
		3BCHA			4IULB			
		1T3GB			2WFQA			
		4M6RB			1LO6A			
		4DJHA			3S6CA			
		1AVON			4N3BB			
		2BW0A			1G25A			
		2OHFA			4OE5D			
		3ML5A			2I4IA			
		4FOMA			4IQYA			
		4IKUA			3N5NX			
		4FV2A			4KU8A			
		3T0OA			1DO5D			
		1NUDA			2YREA			
		3RPGB			1LX5A			
		1FJ2A			3NO8B			
		1HIGD			2LQBA			
		4E1OE			4MVTD			
		2IAGA			3NARA			
		4BKNA			4HXIB			
		2KDGA			1G13C			
		1T0LB			3HHCB			
		3H5CA			4N6JA			
		1BP1A			3ISQA			
		4BC5B			4J6SD			
		4M6WB			3RCWE			
		2R0OB			3V83D			
		4OG5A			1M6DB			
		2WWMD			1LJ7H			
		2BGDA			2LMDA			
		1Y8OB			2Y4TB			
		1UQSA			2Y9QB			
		1APJA			1UEMA			
		3W4ID			3RZNA			
		3LGGA			4IF8A			
		2WNGA			3MX7A			
		1WBPA			3I6WH			
		1T8UB			3Q2UA			
		3COMA			3JXFA			
		2K6GA			1WZ0A			
		2Y4TB			2JFLA			
		1N0WA			2VM8D			
		3RL0G			3NV3A			
		3HM8C			4JVHA			
		3I6WH			4JOIA			
		1P49A			2CPCA			
		2DNCA			4MBBA			
		3UVHB			3NGOA			
		1W6JA			3NNCA			
		1U2HA			3N06B			
		1Q7LC			2Y43A			
		3RCHB			3RCQA			
		1YCKA			2DNCA			
		2NZJC			1C07A			
		4AKMB			2NYLB			
		1IXDA			1SLMA			
		1R42A			2D85A			
		3LMKA			3GBJC			
		4H9QA			1DGVA			
		e+37A			1WMSA			
		3CH4B			3OAIB			
		3FF3A			3Q0QA			
		4HPFA			3SE2A			
		2WM3A			3RZEA			
		3UIUB			4C59A			
		1S5OA			3IZ0F			
		4CDGB			3JWQC			
		2YMBD			1T7YA			
		1NT3A			3SE4B			
		3Q90B			3LDBA			
		2XOCA			4HI9A			
		3HHDC			2HAKF			
		2CQYA			2YMBD			
		2VCVA			2OCPB			
		3B2DA			1FB1E			
		3OU5A			3KBTB			
		3V3KM			1LM7A			
		3D8BA			2HA8A			
		1NB3I			3P1JD			
		1WYMA			3IU6A			
		3TO8A			1CMZA			
		1X2LA			3CZHA			
		3IHPB			3Q6NE			
		2QQ5A			3FZMB			
		4B3FX			3K27A			
		1WWCA			1N3CA			
		4GL2B			2DL1A			
		1TPGA			4DERA			
		3EZQC			3PUFA			
		4GDXB			3COUA			
		3B8KA			4NXTB			
		1K8FC			1EXTA			
		3KUQA			3SE4A			
		4EEGA			1KQOA			
		4GOSA			3J5YB			
		2ENPA			3K77A			
		2BOXA			3SOPA			
		1SS6A			3CUQB			
		2CBZA			3MDYA			
		4KNVB			1Q68B			
		2LMDA			1MHQB			
		2EPZA			3NKXA			
		2EDBA			3GGEA			
		1M5IA			2I3CA			
		1DONA			2FO0A			
		1EY2A			4IB4A			
		3W1GA			3N2ZB			
		1VA9A			1MFVA			
		1QA9B			2VPJA			
		4MBBA			4LQYA			
		3NHBA			3COKA			
		1CMZA			4J5WA			
		3VI4A			1BIKA			
		1NWMX			1JJ7A			
		1XKTA			1QB2B			
		3AJQA			2YQPA			
		4DZOB			4AELB			
		4GMJC			3MQPA			
		3FFNB			1FGUB			
		4MTLA			1J1DB			
		1B9GA			4O0XA			
		1I3NB			1WWVA			
		1RMJA			2WFTA			
		3CXEC			3N1PB			
		1M9IA			2GTOA			
		4NREA			1S18A			
		4AD9B			3RUKC			
		1TRNA			2HEHA			
		3LL8C			3S2KA			
		1UJDA			4K92A			
		2LKMB			3Q2EA			
		4ICKB			3F4MA			
		3B13A			1K95A			
		3L4GB			2FC9A			
		1AM9A			2D9XA			
		3LHMA			4HREJ			
		3DL2A			2HEIB			
		1KFXL			1MHDB			
		2IL1A			3Q2GB			
		2HUZB			4JXMA			
		2OTTY			2OVJA			
		2LSPB			1PL6A			
		2QNDA			1K8FC			
		4DG6A			3P4LA			
		3B7XA			2DMFA			
		1RTFB			2J60B			
		3VZDA			1B98M			
		1NSTA			1JVQL			
		2C2NA			3O8YB			
		1SGOA			3AGZA			
		2Y6ED			3V33B			
		3GROA			4KRSA			
		1Z7ZI			1WH8A			
		2LLTA			1DKSA			
		4IJDA			2G6ZB			
		3J0SM			2HYNC			
		3EIJA			1DU3K			
		1TTXA			3LREB			
		4BKTI			1O80A			
		2ADCA			2HGLA			
		3A6PA			1WFVA			
		3SNHA			3GB8A			
		4KAXB			2G59B			
		1V5JA			3RC8A			
		1NN1A			1DSZA			
		4JVHA			1ND5A			
		6PAXA			2HZ6A			
		1PKXD			1E7ZA			
		3LLMB			1N11A			
		3MTTA			2KNAA			
		3PB9X			2DJUA			
		1HDZA			2XBBB			
		2M17A			3LJ8A			
		3GC9A			4IVCB			
		1MI1A			1NFAA			
		1VOLA			2HLQA			
		1UUHB			2HYID			
		1EMOA			1NT3A			
		1QK9A			4C5WA			
		2FICB			2HA1A			
		3RBNB			1F3MB			
		3MFTA			3L8NA			
		1FGGA			3D9IA			
		3QKGA			4CCZA			
		4E3CE			2D9DA			
		3BBTB			3G33D			
		2WNVC			2LOPA			
		4K0VA			2RLIA			
		1PQ2A			3F5ND			
		3MPHB			3OG4B			
		2VN9A			2HEVR			
		2Y4IB			3L82B			
		1UMKA			1LL8A			
		3GKHA			4HABA			
		2IZVA			1E4JA			
		3QD6D			2DIPA			
		4K30Y			1LSLA			
		3SIUB			3LCYC			
		3A1BA			1Q9CE			
		3L5HA			4I6HA			
		2CUDA			2DMBA			
		3TG5A			4CHBB			
		3DGCS			1U5MA			
		2M9XA			1D4BA			
		2ARQA			2JJSC			
		2D8NA			3RBGB			
		3IFQB			3L4GK			
		3O2QA			2DK9A			
		3G5CB			3CFWA			
		1GG3B			2H1SC			
		3F4MA			3S93B			
		3SOOC			3QX3A			
		4DLJA			1KQ6A			
		2C0MF			4ORHA			
		2CH6D			4JT6D			
		2C0OB			2I1BA			
		1FD0A			1F3UD			
		2HYID			2K1MA			
		4BL1A			2B3YB			
		2I0EB			1K5GB			
		2DMQA			2CSIA			
		2QONA			2JBML			
		1Q7SA			2HV7E			
		1S9CC			1HTRP			
		4BQDA			2FVLB			
		2C6FA			2V5OA			
		3KVOB			4IQMA			
		2ANWA			2DA1A			
		4B95E			4I6JB			
		4B91A			1Q8KA			
		1G88A			3PU8B			
		1J89B			1TEVA			
		4G6LB			1F5NA			
		1UJTA			4I1OG			
		3BI6A			1KSNB			
		3EH1A			3PNWC			
		3L4HA			4HFXA			
		2YQGA			2DAEA			
		4A04B			1IXDA			
		2CR6A			4CCGY			
		2QCQB			4NJ4A			
		1GMYA			2VIGH			
		1R1JA			2KG1A			
		2LNXA			3O7XD			
		2LT7A			1WZ9B			
		2F83A			2CTTA			
		4A0LE			1UCHA			
		3V30A			4MQSA			
		2FJUB			1SIQA			
		2OKJB			4C5IA			
		2WJXB			3ISUA			
		1LJMA			2HT6A			
		1J78B			4OLEC			
		1X4AA			2YHWA			
		3RJMB			3LC4A			
		2ZV6A			2CSWA			
		4BD7C			3M7PA			
		2H32A			4I0PG			
		3UA5B			1RYUA			
		4MQSA			1CKSC			
		2YRPA			3IN5B			
		2HZDA			3S6N2			
		1HLCB			2I32B			
		4FL2A			1BRPA			
		3WEFC			1A9WF			
		1EJ5A			3PD7B			
		4MHVB			3FK2C			
		2I46A			3LWKA			
		2CXYA			3OTFA			
		1Z6XB			4IARA			
		4D8OA			1TXUA			
		3FB2B			3K9PA			
		2KRRA			3N7PD			
		3IHYA			1Q1UA			
		3EQMA			3NAFA			
		2Y25B			1U5DC			
		3ZYJB			4DDPA			
		1S3AA			1WAO1			
		3QXLA			4NM6A			
		3VPNB			4L1MA			
		2WIMA			1BORA			
		1MV3A			2DIYA			
		1WRDA			1FHTA			
		1Z8DA			1WLXA			
		2XWBA			1P4UA			
		1Z57A			4N0FK			
		1Z10D			3IHJA			
		4L8TA			3P0LA			
		1TH1C			1BQQM			
		4IF8A			4MR7B			
		2AOTB			3CJWA			
		2W2IC			3CRDA			
		1URFA			3JXHC			
		1N6KA			3HL2B			
		1X4BA			1WFOA			
		2QRVE			3PMIA			
		1NRVA			4NSCD			
		2C7SA			2VJFA			
		1GXDB			3IKKA			
		3SN5B			4BGQA			
		2LP0A			2X10A			
		2AW5B			2DJNA			
		3HAIA			1TTNA			
		1U5DC			1EERA			
		3II6X			3CZ9A			
		2E8PA			1DONA			
		1ZR0B			2WM1A			
		3SWYA			2HW5B			
		1K2PA			2DIZA			
		1W2CA			4KP5D			
		4KBCA			3NMQA			
		2HI4A			4B4OH			
		3GHGA			3VWWA			
		4B3ZB			3SI5B			
		2DAXA			3PFNB			
		1WI1A			4LNZA			
		2FI2A			2DATA			
		3T3SE			1BI8B			
		3GLSA			2KG4A			
		3PLSA			2E8NA			
		1P32A			1MP1A			
		1OG2A			2F8XC			
		3KQSB			4MJJA			
		3DLJB			2FY5A			
		2DL6A			2HW6A			
		2K8PA			2LKTA			
		2XY9A			4MWIA			
		2WFTA			1LB6A			
		3DWBA			4A9ZC			
		1ZD1A			1MMPA			
		4DVQJ			4BKFC			
		1A7SA			3LYIA			
		1RM8A			3ZJDA			
		4MP7A			1HYNS			
		1IMJA			1MJ4A			
		3HBWA			3P1MC			
		3AVRA			1AWBA			
		3C0YC			3O4OC			
		2Z7XA			1EF1D			
		4GYYA			4NH3A			
		2HT6A			1KWMB			
		4IGGA			1OP8F			
		3NAFA			3OF6F			
		1HP8A			3MQIC			
		3WHWA			1LJMA			
		2Y9TA			3CPFB			
		2D7RA			2CT4A			
		4IIRA			1DYTB			
		2M1XA			2H31A			
		4BGQA			1HURA			
		2HHLB			3KLTB			
		2MC3A			1NSTA			
		2B3YB			1G1QC			
		3J2QB			3P0UA			
		2UZXB			3P1IC			
		4EKCD			3CH4B			
		1MX1D			2DAXA			
		2DLSA			2YPAD			
		3UX3B			1NKRA			
		1GUHD			4HDOA			
		2QQKA			3GHGC			
		1X6HA			4IU7B			
		2CTEA			2HEVF			
		3T6JA			2XWJD			
		2XSND			1FQVG			
		2DLHA			3RPNE			
		3EG9B			3R8KD			
		2HC2A			2Y73B			
		2KE5A			4BL1A			
		4JZ1A			1EFVA			
		2DMYA			1WJRA			
		2FO0A			4KNGF			
		2DLKA			4HBDA			
		3LPWB			2DKPA			
		3N8IA			3R7SC			
		2YLEB			2W2CI			
		3GCXP			4BIEA			
		1L5SA			4CLTA			
		1WISA			2HYWA			
		2EAQA			1M5IA			
		2PKDB			4OR2B			
		4GEBB			1KBHA			
		2OUCA			3RAPR			
		2V5OA			2CTEA			
		2WK3B			1NE7D			
		2QXIA			3D8FC			
		4DLOB			1OKIB			
		2PPLA			4JVMA			
		2XV7A			3Q0NA			
		1XFDB			3FDWA			
		1OLZB			2HCIA			
		2OPHA			3H5CA			
		4AVMA			3HM8C			
		2H31A			3JYHA			
		2P8QA			2HDLA			
		1ISMB			3F1RB			
		2DM3A			4NSQC			
		2X47A			4AOWC			
		3J2QA			3REPA			
		4FQ3A			1HRFA			
		2OZOA			2H4MD			
		2V90E			4BD7C			
		3G4HB			4C9YA			
		3THTA			4JS2A			
		3KFVA			2D9ZA			
		4CFFA			1UEPA			
		2F6NA			4CC9A			
		2L80A			2DBFA			
		2EDNA			4IQRB			
		1P9OA			4JGHA			
		2CP0A			3GGRC			
		3BHMA			2CT7A			
		3W3GA			4J15A			
		2NPPA			4NODG			
		4I1OG			2WNPF			
		4BGGA			3MB4A			
		3ABDB			1RZ4A			
		4AIFB			2DAOA			
		1U6GC			4HPMA			
		3L8NA			4DCKA			
		4EGCA			4KFMG			
		3ULVA			3RAWA			
		1BY1A			3RSNA			
		3KQGB			2CSVA			
		1Q1ZA			4NW5A			
		2W2VB			1KB4B			
		3BICB			1EGXA			
		4AE4B			1JLJB			
		2NQ3A			2FJUB			
		4GUKA			1EKGA			
		1KIVA			2D5RB			
		1GUMD			3MSHA			
		3OE8B			1IU1A			
		1IU1A			2LXPA			
		1LI1B			2DLSA			
		2LCXB			2QNJA			
		1AQCB			4KROA			
		3V4VA			1JHJA			
		2F8AB			2DBAA			
		4GFVA			4HLJA			
		2PXXA			1N26A			
		3NW0A			1L1OC			
		3VW7A			7PCKC			
		4BZYA			1GY5B			
		1WJPA			2DMEA			
		4AFLE			1JSUC			
		2V64A			1L0AB			
		1G9LA			1UPQA			
		1NB9A			1KHUB			
		1KCGC			4C9BB			
		2WJVA			1QDDA			
		2BYEA			1KZZA			
		1WIEA			1WOUA			
		3IF8A			1BZKA			
		2H63D			4AE7A			
		1Y96D			4IKDA			
		3ZDQA			2D07A			
		3L15B			1K99A			
		2VXOB			2E9KA			
		4C0PC			3MJKE			
		4OAVB			2D0UB			
		1PRXB			3MK6A			
		2KDBA			3PQ1B			
		3GHGE			3SH5A			
		3QYEB			4LU3A			
		2EX4B			2VD5A			
		4B7LA			2V62A			
		1AU1B			3PUFH			
		2QG1A			2FNEC			
		4KRFA			1KIVA			
		1X5NA			1HVEA			
		1TOZA			1G1CA			
		2O8BA			1A3QA			
		1V7NY			2HWXA			
		1FG9C			4JQGB			
		2ADBA			4JQFA			
		2RGNB			2CRFA			
		2R0BA			3CONA			
		2C6YA			2DBGA			
		2GOWA			2Z5EB			
		2B6HA			3RY6C			
		2LWIA			3TOPB			
		3KGRB			1HDZA			
		4AVXA			1UCVA			
		3TW8A			4JS0A			
		1NKPA			4KFMB			
		2I38A			1SMOA			
		2LI8A			3NHBA			
		1YGRB			1JN5B			
		4F3TA			3OTEB			
		4J19B			1LG4A			
		1WHMA			2I1YB			
		3D7UA			2WNSA			
		2EP8A			1WGRA			
		1X86E			2CPTA			
		4EKUA			3A7HA			
		4KZXl			2E7HA			
		1ZMQC			3JW0C			
		2WNSA			3SZRA			
		1NKPB			1WUUC			
		1V1TA			4I5LB			
		2RR3A			3BBTB			
		4BS2A			1FJ2A			
		2DZJA			4AIWA			
		4JXMA			1PT6B			
		3RY6C			3IYPF			
		1YO5C			1CDQA			
		1UENA			4MHVB			
		2LQNA			2I96A			
		2Q7MD			1NUNA			
		4KROA			2DGXA			
		2L6KA			3F8UC			
		1AH1A			1BY2A			
		3BU6A			4C6FA			
		3ZGOA			1ONIE			
		3MQ4A			1JVGB			
		1URYB			3JTCA			
		1SPJA			2HXSA			
		2YHFB			3BK3B			
		2IBNA			6RLXB			
		2CQ1A			1KOTA			
		3D42A			4AFLE			
		2LOPA			3GHGE			
		1HRFA			4MP7A			
		2P39A			4CFFA			
		2EELA			1JKWA			
		2KIVA			1RTFB			
		2OF5F			1GRNB			
		2F3IA			3OW8D			
		3JTCA			2YSMA			
		2DITA			2DOAA			
		4BOCA			3SD4B			
		1UPTB			3COAC			
		2EDHA			1N52A			
		2YVQA			4BS2A			
		4JOIA			3S24D			
		1KV3B			4H87B			
		3L81A			4IZ5E			
		2LULA			4J1YA			
		3GHGC			3PJAH			
		3N5UB			2CTRA			
		3MTRA			2YGGA			
		2V70C			2DF3A			
		2Q4KB			3IHPB			
		3U0VA			3CZVA			
		1XDVB			1M3GA			
		4GS9A			4CRHA			
		1WI3A			1NB9A			
		3G0FB			4NDYR			
		3PBLB			1MI1A			
		3OOIA			4FYSA			
		3DZUA			2KXQA			
		2L3LA			4K5YC			
		3KY9B			3FFNB			
		3OLNA			4AE4B			
		1ZY7A			4A4IA			
		2W4RB			1D1JA			
		3KN1A			4KT1A			
		2DMDA			1P49A			
		e+77B			3NBQA			
		1H2UX			2HZPA			
		3U9CA			4M7HB			
		1G1QC			4HNMA			
		3QFVB			1J0WA			
		2DB2A			2NZTA			
		2EYIA			3MDVA			
		3F6UH			1CDZA			
		1SOSE			3GIDA			
		2R55B			1DGNA			
		1BUOA			1PV8B			
		3HJUA			1B4QA			
		4LRHA			3POSB			
		2CRWA			3MVBO			
		2OKKA			2E9XG			
		4G0NB			4ITJB			
		4B4CA			3D7UA			
		1OVLA			4BKXA			
		3K71D			4BOQA			
		2OCWA			1CM8B			
		3PTAA			1UFFA			
		1HKFA			4EIHA			
		2DM4A			4BLDB			
		3BG3A			1CZVA			
		1UHLB			4DDGL			
		2GO51			1NKPA			
		4GNKB			4IP7D			
		1WF8A			1NQ0A			
		2LE4A			2F9MA			
		3BXMA			3L6YC			
		2JVZA			1UG1A			
		2YCUA			2CPDA			
		2JRIA			1F2HA			
		2E5RA			1PJAA			
		3EBMB			3F6KA			
		2KG1A			3ABDB			
		2LPNA			3BPRA			
		2W18A			3S4YB			
		1XR0B			1OC3B			
		1YJRA			3GKHA			
		2H16B			3ZQKC			
		2EW1A			1NF1A			
		2A7OA			3OWPA			
		1QB2B			3OJYB			
		1BORA			3BN3B			
		1HTNA			1DE4G			
		4HSAC			1EKPB			
		2VPJA			4LP5A			
		2BMJA			1S5OA			
		2L30A			1BUOA			
		2AZEB			3MQMA			
		3THXB			4AWLB			
		2NN7B			3CKIB			
		1TR2A			2XEUA			
		3IKMD			2DMDA			
		2XZGA			3PHWH			
		3IBJB			1V16A			
		4LLAC			2CTOA			
		2D3VA			3N5UB			
		2AMYA			1DMWA			
		3H8MB			3P1AA			
		1LO6A			1AXIA			
		2PP4A			2DKUA			
		3MTLA			4DL3A			
		2IUWA			3KM0A			
		4DOHR			2VXOB			
		1OZNA			4CFFB			
		2NYTA			4KS7A			
		4CHBB			1OE9B			
		3SXSA			2HT9B			
		1W1HC			4EMUB			
		3SUAD			2DNRA			
		1MILA			3NBYB			
		2HZQA			1LM5A			
		1PUFB			1PVHB			
		2BYGA			2KJEA			
		1RW2A			3D2SA			
		2XAHB			3G2FB			
		4ELJA			2CV5D			
		4BSTD			1LI1F			
		3V5LA			4MSPB			
		4NXTB			4DPZX			
		2YS4A			4AZMB			
		1YPOH			3T3SE			
		2MD7B			3PUCA			
		1NL0G			3AJ4A			
		3KFDJ			2D9QB			
		2V66D			4BQMA			
		2XUEA			3BH7B			
		2VR2A			1L8LB			
		3FY7B			4JG7A			
		1TVGA			4BX9C			
		1Y6KL			1WYPA			
		4DX1A			1NR4C			
		4FYSA			3L6AA			
		3RODB			1HLVA			
		3IUYA			2HLEB			
		1UGKA			1JFNA			
		4BX9C			1EY2A			
		3L50A			2GERE			
		3EXHH			3L6BA			
		1VIGA			3IPYA			
		2IQCA			4JIZA			
		2CQ7A			1LQ8B			
		1KF9C			3BQQA			
		3IARA			1JMOA			
		1YB5A			3QWRA			
		3FXTF			1FD0A			
		2X6UA			1KF9C			
		3LUIA			3PFWP			
		4CGYB			4KKDA			
		1RQDB			3N3KA			
		1GGUB			2DIUA			
		1UM1A			3K05B			
		3B1UA			4N6HA			
		4AE7A			1H7UB			
		3ZRHA			4M6WB			
		1SXEA			1G82A			
		3A6NA			1L8ZA			
		3IJEB			e+50Q			
		1L2JB			4HW5A			
		2L1IA			1FLIA			
		e+36A			4NNRB			
		2LKTA			1A02N			
		3W5KB			3FEYC			
		4MQFA			4HASA			
		1KFUS			1E5WA			
		3KLTB			2GD7A			
		3R2WC			3R27B			
		2LVCA			2D9BA			
		3KQ0A			4NIEA			
		1LX5A			1HDPA			
		4HPMA			2HB8A			
		2YN8A			1F4RA			
		2I1BA			2X0BD			
		2DM8A			2FC8A			
		2D85A			1OHCA			
		4I9WB			1V7NY			
		3LB6C			4DCNB			
		3TFYC			3F3YD			
		2XD7C			3PJAL			
		1YRKA			4KITC			
		1Z9MA			3SDEA			
		3IEIG			1WJ3A			
		1MLWA			3PS4C			
		3LWKA			4BTMB			
		3A7HA			1AXCA			
		3DYTA			1A9NA			
		2ZNSA			1BI8A			
		2V9YA			1FYVA			
		3NBQA			4JRAD			
		2CJZA			1HZDA			
		3OWHA			3PJCA			
		3C9QA			3S8PB			
		e+45A			2D7OA			
		3DLSF			1HRAA			
		2PL3A			3CW3A			
		1YO8A			1MU9A			
		3LJWB			1MLWA			
		4N0FK			1FQ3A			
		3KFQA			1K93F			
		3RCWE			2D8RA			
		1GZWB			4I8VB			
		1W0BA			4KBCA			
		1YHVA			3MSXB			
		3F81B			2D7NA			
		3TDCA			4KAXB			
		1RGOA			4K9WA			
		2Y33A			1JEQA			
		2HEIB			1FSUA			
		1N3CA			2DKXA			
		2R4SA			3EBMB			
		3Q18B			1AVFA			
		1CJYB			2DK2A			
		1N7DA			2CTJA			
		1T5CB			1H6FA			
		1XWIA			3PKJA			
		4B87A			3COGB			
		1UEQA			2D9WA			
		4A9CB			3DH1A			
		4K8AB			2CS8A			
		4F0XH			3B7XA			
		4G1MA			2ZV2A			
		1Y2OA			2CRUA			
		3HLKB			2DISA			
		3G73B			1CVSC			
		2FV2A			1SAWB			
		2L86A			3AADA			
		2OO1B			1CJLA			
		1BWNB			2E6SA			
		2A01A			4ERNA			
		1X1FA			4HWNA			
		2EB1C			4IY3B			
		3A03A			4MBSB			
		1B0FA			2JNUA			
		3G2FB			3PG6A			
		2LE9B			1J8EA			
		2JJUA			1WAWA			
		2DHAA			3DPEA			
		1YOKA			1E4UA			
		4DDPA			1K4US			
		2JJSC			1T0LB			
		2DLWA			3C5RA			
		2AEXA			3MTLA			
		3FM0A			4DOHA			
		1X5OA			1IURA			
		2I4IA			4NR2D			
		1MMPA			4HOTA			
		4HPLA			4BHWB			
		3BPRA			1B4FE			
		3UOAB			2DAFA			
		2Q3HA			1FNFA			
		1N3HA			1OEYA			
		2Q8KA			4AOTA			
		2P8EB			2DJ7A			
		1TXUA			e+45A			
		1ONIE			2CW6B			
		2GTPC			1JLMA			
		4HFGA			2H58A			
		2CTMA			2Z7QA			
		2X2RA			2HI4A			
		2LUCA			1NI6D			
		4IKDA			1FZDE			
		3UJRA			2HE3A			
		1FYVA			2NO3A			
		1U3BA			3LJUX			
		3PE0A			4JNLU			
		2LOTA			3B6YB			
		3A8YD			3R0NA			
		2EDVA			3HY4A			
		4LECA			3SHEA			
		2IWIA			1MV3A			
		2CFVA			1PLSA			
		4C5IA			2CSSA			
		2DLUA			1K9KA			
		3ZFMA			3CW1K			
		1P5QC			4BSJA			
		2XDGB			3FY7B			
		3A8WB			3D8CA			
		1I0EB			4ASXA			
		2DWPA			1DS6B			
		2M20A			1AU1B			
		3LYRA			2DLLA			
		2A1IA			1D5VA			
		3QAKA			3AL5A			
		3H11A			1ND7A			
		1US7B			3J0SM			
		3VROA			3LPOA			
		4LWDA			1PLOA			
		2M0GB			4KFZA			
		2CRUA			1C9BN			
		1XV9D			2DLUA			
		2NSQA			2DYQA			
		1FLIA			1DK8A			
		3GB8A			2CRRA			
		3N5NX			3FF3A			
		3BQRA			3FB2B			
		2YSQA			1KCGC			
		3I8VB			4HONA			
		1H3IB			1D5RA			
		1LFIA			3UN9A			
		1APYA			1PBKA			
		3TK9A			2CPNA			
		2CT5A			2I99A			
		1PVHB			2DM3A			
		4DMUB			1EFVB			
		4KX9A			1Q1ZA			
		3EWUB			1N7DA			
		3ZQKC			4NREA			
		2Q87B			4KNVB			
		3H5CB			1SPJA			
		4K5YC			4KC3A			
		4KFMB			3BWYA			
		2ZIVB			2D0JA			
		1HRAA			4C9BA			
		3GWXA			4BGGA			
		2IDXC			1BR9A			
		2WWWA			1EJ5A			
		1Q1UA			3PBLB			
		3COGB			1GR3A			
		3TOAA			1MSGA			
		1CNT3			2CP5A			
		3FZTA			2CS4A			
		1NQ0A			4EKUA			
		4LEOC			2DKZA			
		2LXPA			4BGJA			
		2IO1C			3LB6C			
		1YVLA			4O9BA			
		1YA0A			1Q33A			
		2P2RA			2CXYA			
		2E9WA			2DAWA			
		1SL6F			2V5YA			
		4JG7A			3DLQI			
		4CFEE			3R01A			
		3O8YB			e+71A			
		1EGXA			3NR9B			
		4IQMA			1KO6A			
		3GIXA			4C8BB			
		1JI7A			3C0YC			
		2CO8A			3BPTA			
		2GF9A			1APYB			
		1TDHA			1S1CY			
		2KSRA			2D7MA			
		4NIEA			3LGGA			
		2HLEB			3BPNC			
		4G8AA			2J5WA			
		2X5YA			1J8IA			
		1S31A			2CR6A			
		1GZHD			1O7BT			
		e+93A			2VNSB			
		1VTNC			3AQFB			
		2D9WA			4L23B			
		1C9BN			2DM8A			
		1HDJA			4M6RB			
		3LXXA			3RGHA			
		1IMHC			1HNFA			
		3Q6NE			2D7RA			
		2EKFA			4EDJB			
		3U82B			1KGDA			
		3NV3A			1CJYB			
		2EE3A			2HM2Q			
		2P5XA			2G76B			
		1P22A			3RL7C			
		3BH7B			2DA0A			
		3I8EA			1EM2A			
		4JNLU			1H9OA			
		3R27B			4I2XF			
		3ENPB			1FIKA			
		1CVJG			2D89A			
		3U0DD			1UOHA			
		1W1FA			2E7GA			
		3IN5B			2CUBA			
		4L1DB			3CNKA			
		2LTMA			1HIGD			
		2CP3A			2DJRA			
		3N50D			2JE0A			
		2JBML			1GK4A			
		2CPMA			4K81E			
		3LY5A			3PFFA			
		2DZMA			1FPZC			
		2KR0A			1AOAA			
		1NCVA			4ADFK			
		4ITJB			4AW6E			
		2JIFA			2DAVA			
		3E6UA			2KKWA			
		3FDWA			1SO0D			
		2WVRC			2DNOA			
		2FZEB			3LCOA			
		2WPIE			2D8KA			
		2Y73B			4CGYB			
		1JUJC			4CQ1A			
		2L6AA			2DYPD			
		2AA6B			2FAUA			
		2QBXA			4AT4A			
		3ZJYG			3NPCA			
		2DLLA			3Q7QB			
		1LDJA			3E7GD			
		3N06A			2D9OA			
		1WH1A			3OMVA			
		3UVJC			4BCJA			
		3AJ4A			1HE3A			
		2AXLA			1EMOA			
		2EANA			4KBSB			
		3FEYC			4AVPA			
		2PIDA			1LFIA			
		2LY4B			3PTAA			
		3SOPA			1BNLD			
		2QQ2L			1HMLA			
		2C5LD			1LS6A			
		3RZEA			3LQHA			
		2CN1A			2CQYA			
		1V88A			1CF7B			
		1DE9A			4CH9B			
		2IU1A			1AYEA			
		2DA1A			1HTJF			
		2VIGH			2DMIA			
		1S18A			1C25A			
		3E0GA			2E9XH			
		3NVQF			1P9OA			
		2GWFF			1NLWA			
		1UEWA			3RCOA			
		4BN2A			4KRFA			
		3KULB			1GMYA			
		2JXBA			4I1HA			
		2CTDA			1H3OC			
		1XYED			2DZRA			
		1XKSA			2LD4A			
		1K4US			1NWTA			
		4FGUB			e+90B			
		3JXFA			3BINA			
		1XIWF			3R90D			
		4GQBB			3FFLA			
		2GK9A			3D8BA			
		1FPZC			1ELRA			
		1MQBA			2DBJA			
		3LQ9A			3BIME			
		2I7AA			1GGLB			
		3U3VA			4EFGA			
		4HB4A			3EAPC			
		3FCSC			2CQMA			
		2CZHB			3D2NA			
		2OIDD			3OXQF			
		1WJMA			2CT3A			
		2EE2A			4CRSA			
		2L27A			4DXTA			
		3UKMD			3MTTA			
		4MWIA			3QWLA			
		1S35A			4BHXB			
		1R6TA			4DXRB			
		1KWAB			3CKKA			
		2H57C			2DGUA			
		2NN6E			3BXMA			
		4O0XA			4A69A			
		3UK6H			3GRSA			
		2DF3A			4MSVA			
