chain	clen	end	method	resolution	start	structid	unp
A	1.0	4391.0	x-ray diffraction	1.5	4197.0	3SH4	P98160
A	1.0	354.0	solution nmr	-1.0	275.0	1B4R	P98161
A	1.0	1148.0	solution nmr	-1.0	1103.0	2M0P	P98164
E	1.0	497.0	x-ray diffraction	2.45	19.0	1I51	P98170
A	1.0	854.0	solution nmr	-1.0	786.0	2EPD	P98171
A	1.0	646.0	solution nmr	-1.0	128.0	2M2B	P98175
A	1.0	185.0	x-ray diffraction	1.87	96.0	3L2C	P98177
A	1.0	105.0	x-ray diffraction	1.65	2.0	3ZCF	P99999
A	1.0	458.0	x-ray diffraction	2.26	69.0	3NEY	Q00013
A	1.0	237.0	x-ray diffraction	2.45	43.0	3TQ6	Q00059
A	1.0	269.0	x-ray diffraction	2.9	2.0	1UW5	Q00169
A	1.0	395.0	x-ray diffraction	2.05	16.0	2OBV	Q00266
A	1.0	1167.0	solution nmr	-1.0	178.0	2CTM	Q00341
A	1.0	316.0	solution nmr	-1.0	2.0	1RO4	Q00403
A	1.0	293.0	x-ray diffraction	2.4	3.0	4AGU	Q00532
B	1.0	309.0	x-ray diffraction	2.9	5.0	1XO2	Q00534
A	1.0	292.0	x-ray diffraction	1.95	1.0	3O0G	Q00535
A	1.0	547.0	x-ray diffraction	2.4	237.0	3MTL	Q00536
A	1.0	133.0	x-ray diffraction	2.3	30.0	5BQB	Q00604
A	1.0	357.0	x-ray diffraction	1.7	1.0	2XZG	Q00610
A	1.0	123.0	solution nmr	-1.0	10.0	2LDU	Q00613
A	1.0	859.0	solution nmr	-1.0	37.0	2D96	Q00653
A	1.0	224.0	solution nmr	-1.0	1.0	2KFV	Q00688
B	1.0	803.0	x-ray diffraction	2.2	11.0	2FJU	Q00722
A	1.0	357.0	x-ray diffraction	2.2	2.0	1PL7	Q00796
A	1.0	1034.0	solution nmr	-1.0	58.0	2DAV	Q00872
A	1.0	1269.0	solution nmr	-1.0	1242.0	2LCM	Q00975
A	1.0	436.0	x-ray diffraction	1.99	1.0	4UMN	Q00987
A	1.0	502.0	x-ray diffraction	1.77	146.0	1TAZ	Q01064
A	1.0	146.0	x-ray diffraction	2.2	43.0	1JMT	Q01081
A	1.0	2015.0	x-ray diffraction	1.1	173.0	1BKR	Q01082
A	1.0	299.0	solution nmr	-1.0	1.0	1X4G	Q01085
P	1.0	426.0	x-ray diffraction	2.6	87.0	1O9K	Q01094
A	1.0	497.0	solution nmr	-1.0	2.0	2LV2	Q01101
A	1.0	236.0	x-ray diffraction	2.3	38.0	2E50	Q01105
A	1.0	101.0	solution nmr	-1.0	1.0	2LEB	Q01130
A	1.0	353.0	x-ray diffraction	2.4	256.0	2C6Y	Q01167
A	1.0	205.0	solution nmr	-1.0	79.0	1CO1	Q01196
A	1.0	420.0	x-ray diffraction	2.55	27.0	3QT2	Q01344
A	1.0	458.0	x-ray diffraction	1.65	2.0	2A2C	Q01415
A	1.0	135.0	x-ray diffraction	2.05	1.0	1B56	Q01469
A	1.0	1456.0	x-ray diffraction	3.49	28.0	4RLV	Q01484
A	1.0	475.0	x-ray diffraction	2.8	319.0	1K8F	Q01518
A	1.0	94.0	x-ray diffraction	1.9	63.0	4E83	Q01523
A	1.0	100.0	x-ray diffraction	2.1	69.0	1ZMQ	Q01524
A	1.0	373.0	solution nmr	-1.0	100.0	2YTU	Q01543
A	1.0	470.0	x-ray diffraction	2.0	16.0	2P8U	Q01581
B	1.0	317.0	x-ray diffraction	3.27	21.0	4KC3	Q01638
B	1.0	143.0	x-ray diffraction	2.62	9.0	1JFI	Q01658
A	1.0	593.0	x-ray diffraction	2.5	180.0	3SAF	Q01780
A	1.0	781.0	x-ray diffraction	2.8	13.0	4U1R	Q01813
A	1.0	739.0	solution nmr	-1.0	71.0	2MW8	Q01826
C	1.0	863.0	x-ray diffraction	1.8	109.0	2OBH	Q01831
A	1.0	458.0	solution nmr	-1.0	358.0	2CPE	Q01844
A	1.0	898.0	x-ray diffraction	2.3	1.0	3QIS	Q01968
B	1.0	1192.0	x-ray diffraction	3.41	10.0	4QJ5	Q01970
A	1.0	752.0	x-ray diffraction	2.9	464.0	3ZZW	Q01974
B	1.0	277.0	x-ray diffraction	2.3	2.0	1LEW	Q02078
A	1.0	94.0	x-ray diffraction	2.2	2.0	1N6J	Q02080
A	1.0	662.0	x-ray diffraction	1.9	470.0	4NI2	Q02108
A	1.0	395.0	x-ray diffraction	2.27	29.0	4LS2	Q02127
B	1.0	610.0	x-ray diffraction	1.9	411.0	4NI2	Q02153
Q	1.0	372.0	x-ray diffraction	2.25	343.0	2WH0	Q02156
P	1.0	940.0	x-ray diffraction	1.95	932.0	3ERY	Q02218
F	1.0	50.0	x-ray diffraction	1.9	2.0	4ZFO	Q02223
A	1.0	339.0	x-ray diffraction	2.5	4.0	1T5C	Q02224
B	1.0	904.0	x-ray diffraction	2.81	799.0	3VHX	Q02241
A	1.0	414.0	x-ray diffraction	3.07	34.0	2OM5	Q02246
G	1.0	241.0	x-ray diffraction	3.03	175.0	3U7U	Q02297
A	1.0	82.0	x-ray diffraction	2.1	30.0	4AYA	Q02363
A	1.0	837.0	solution nmr	-1.0	453.0	1U3B	Q02410
A	1.0	83.0	solution nmr	-1.0	29.0	2LFH	Q02535
A	1.0	142.0	x-ray diffraction	2.8	19.0	1MDM	Q02548
A	1.0	121.0	x-ray diffraction	1.95	34.0	2XDG	Q02643
A	1.0	115.0	solution nmr	-1.0	22.0	1O8R	Q02747
A	1.0	383.0	x-ray diffraction	2.8	39.0	4U80	Q02750
A	1.0	1121.0	x-ray diffraction	4.51	23.0	4K0V	Q02763
A	1.0	78.0	x-ray diffraction	2.0	17.0	2RF0	Q02779
A	1.0	427.0	x-ray diffraction	3.0	16.0	4TW8	Q02790
A	1.0	326.0	solution nmr	-1.0	228.0	1SNL	Q02818
A	1.0	1206.0	x-ray diffraction	2.16	454.0	3QX3	Q02880
E	1.0	5159.0	x-ray diffraction	2.5	5149.0	3GJO	Q03001
A	1.0	218.0	x-ray diffraction	3.3	2.0	4GTU	Q03013
A	1.0	194.0	solution nmr	-1.0	138.0	2E1O	Q03014
A	1.0	408.0	x-ray diffraction	1.4	7.0	1Q7L	Q03154
A	1.0	3972.0	x-ray diffraction	2.0	6.0	2W5Y	Q03164
A	1.0	441.0	x-ray diffraction	2.3	72.0	2GWX	Q03181
A	1.0	569.0	solution nmr	-1.0	389.0	2LLL	Q03252
A	1.0	145.0	x-ray diffraction	2.3	8.0	3I2B	Q03393
U	1.0	305.0	x-ray diffraction	2.8	23.0	3BT1	Q03405
A	1.0	395.0	x-ray diffraction	2.5	2.0	2R3V	Q03426
A	1.0	197.0	x-ray diffraction	1.94	29.0	3H3G	Q03431
A	1.0	158.0	x-ray diffraction	1.85	90.0	4CVO	Q03468
A	1.0	802.0	x-ray diffraction	2.4	552.0	1JJ7	Q03518
A	1.0	329.0	x-ray diffraction	1.99	19.0	3ZD2	Q03591
A	1.0	680.0	x-ray diffraction	2.0	549.0	1GR3	Q03692
A	1.0	30.0	solution nmr	-1.0	1.0	1B4G	Q03721
B	1.0	320.0	x-ray diffraction	2.0	20.0	4KV4	Q04206
A	1.0	700.0	x-ray diffraction	2.79	43.0	5CLT	Q04446
A	1.0	750.0	x-ray diffraction	1.9	55.0	4NGR	Q04609
C	1.0	1572.0	x-ray diffraction	2.38	1.0	1LJ2	Q04637
A	1.0	1231.0	solution nmr	-1.0	1.0	1YJV	Q04656
A	1.0	1672.0	x-ray diffraction	2.0	1425.0	2OO4	Q04721
A	1.0	770.0	x-ray diffraction	2.03	19.0	2CE8	Q04724
A	1.0	647.0	x-ray diffraction	3.51	389.0	2R0K	Q04756
A	1.0	706.0	x-ray diffraction	2.6	1.0	4Q9Z	Q04759
A	1.0	184.0	x-ray diffraction	1.47	2.0	3VW9	Q04760
A	1.0	499.0	x-ray diffraction	2.42	172.0	4DYM	Q04771
A	1.0	323.0	x-ray diffraction	1.9	2.0	3GUG	Q04828
A	1.0	142.0	x-ray diffraction	2.7	26.0	2DUD	Q04837
B	1.0	1357.0	x-ray diffraction	3.0	28.0	4QT8	Q04912
A	1.0	236.0	x-ray diffraction	2.15	2.0	2C63	Q04917
A	1.0	140.0	solution nmr	-1.0	56.0	2GZK	Q05066
A	1.0	869.0	x-ray diffraction	2.55	24.0	4GIZ	Q05086
A	1.0	748.0	x-ray diffraction	2.0	6.0	2X2E	Q05193
A	1.0	135.0	solution nmr	-1.0	5.0	1S5Q	Q05195
A	1.0	142.0	x-ray diffraction	1.8	2.0	1LCL	Q05315
A	1.0	584.0	x-ray diffraction	2.3	88.0	2OKK	Q05329
A	1.0	1063.0	x-ray diffraction	2.65	34.0	4EBW	Q05397
A	1.0	126.0	x-ray diffraction	2.0	6.0	1CS3	Q05516
B	1.0	917.0	x-ray diffraction	1.85	620.0	3BYA	Q05586
A	1.0	218.0	solution nmr	-1.0	1.0	2YUU	Q05655
A	1.0	719.0	x-ray diffraction	1.8	15.0	1WDY	Q05823
A	1.0	314.0	solution nmr	-1.0	170.0	1M3G	Q05923
A	1.0	562.0	x-ray diffraction	2.5	135.0	3FEO	Q05BQ5
A	1.0	537.0	x-ray diffraction	1.78	1.0	5DF6	Q06124
A	1.0	175.0	solution nmr	-1.0	36.0	2GO0	Q06141
A	1.0	659.0	x-ray diffraction	2.0	2.0	3PJ1	Q06187
A	1.0	1064.0	x-ray diffraction	2.09	793.0	4I5J	Q06190
A	1.0	699.0	x-ray diffraction	1.9	335.0	2ZJ3	Q06210
A	1.0	302.0	x-ray diffraction	3.35	1.0	2NN6	Q06265
A	1.0	1336.0	x-ray diffraction	2.7	4.0	4UHX	Q06278
A	1.0	242.0	x-ray diffraction	2.8	4.0	1AVO	Q06323
C	1.0	448.0	x-ray diffraction	3.85	25.0	3V79	Q06330
A	1.0	222.0	x-ray diffraction	1.96	47.0	1RHF	Q06418
B	1.0	559.0	x-ray diffraction	2.0	119.0	1WQ6	Q06455
A	1.0	285.0	x-ray diffraction	2.2	2.0	3F3Y	Q06520
A	1.0	339.0	solution nmr	-1.0	16.0	1B22	Q06609
Y	1.0	244.0	x-ray diffraction	3.6	87.0	4MXW	Q06643
A	1.0	143.0	solution nmr	-1.0	1.0	2K27	Q06710
A	1.0	543.0	x-ray diffraction	3.0	1.0	4OVA	Q06787
A	1.0	187.0	x-ray diffraction	2.6	3.0	2RII	Q06830
A	1.0	282.0	x-ray diffraction	2.25	74.0	1P32	Q07021
A	1.0	954.0	x-ray diffraction	2.15	76.0	4KXD	Q07075
A	1.0	199.0	x-ray diffraction	1.5	78.0	1E87	Q07108
C	1.0	1748.0	x-ray diffraction	1.84	18.0	4OEQ	Q07157
A	1.0	685.0	x-ray diffraction	1.75	166.0	3D3P	Q07343
B	1.0	389.0	x-ray diffraction	2.4	99.0	3QHE	Q07666
A	1.0	192.0	x-ray diffraction	2.2	1.0	4ZIG	Q07812
A	1.0	209.0	x-ray diffraction	2.3	1.0	3IO8	Q07817
A	1.0	327.0	x-ray diffraction	1.7	76.0	3KJ0	Q07820
A	1.0	495.0	x-ray diffraction	2.8	203.0	3NF1	Q07866
A	1.0	468.0	x-ray diffraction	2.5	196.0	3ET1	Q07869
S	1.0	1046.0	x-ray diffraction	2.2	6.0	1NVU	Q07889
B	1.0	552.0	solution nmr	-1.0	178.0	1CF4	Q07912
A	1.0	2817.0	solution nmr	-1.0	851.0	2KNX	Q07954
B	1.0	215.0	x-ray diffraction	2.9	1.0	3BEG	Q07955
A	1.0	433.0	x-ray diffraction	1.65	233.0	1TX4	Q07960
A	1.0	268.0	x-ray diffraction	1.6	42.0	1WKU	Q08043
A	1.0	328.0	x-ray diffraction	2.21	232.0	3G73	Q08050
A	1.0	204.0	x-ray diffraction	2.0	71.0	2BV1	Q08116
A	1.0	693.0	x-ray diffraction	2.7	2.0	1NUF	Q08188
A	1.0	486.0	x-ray diffraction	2.3	1.0	2P6B	Q08209
A	1.0	563.0	x-ray diffraction	2.8	169.0	3LLM	Q08211
A	1.0	329.0	x-ray diffraction	1.85	6.0	1YB5	Q08257
A	1.0	220.0	x-ray diffraction	2.14	20.0	3LQM	Q08334
A	1.0	919.0	x-ray diffraction	1.92	30.0	3ZOS	Q08345
B	1.0	1002.0	x-ray diffraction	1.96	981.0	4REY	Q08379
A	1.0	133.0	x-ray diffraction	2.0	19.0	1BY2	Q08380
A	1.0	635.0	x-ray diffraction	1.9	307.0	2QYM	Q08493
A	1.0	405.0	solution nmr	-1.0	342.0	1QZP	Q08495
A	1.0	739.0	x-ray diffraction	1.72	326.0	1XON	Q08499
A	1.0	251.0	x-ray diffraction	2.0	1.0	3L5K	Q08623
D	1.0	136.0	x-ray diffraction	2.3	20.0	2JJT	Q08722
B	1.0	620.0	x-ray diffraction	2.58	113.0	4PP9	Q08881
A	1.0	427.0	x-ray diffraction	1.93	197.0	4IFS	Q08945
E	1.0	422.0	x-ray diffraction	3.1	416.0	4XI9	Q08999
A	1.0	236.0	x-ray diffraction	3.2	36.0	3RBW	Q08AE8
A	1.0	569.0	x-ray diffraction	1.6	33.0	3C5E	Q08AH3
B	1.0	539.0	x-ray diffraction	2.8	11.0	2VD5	Q09013
B	1.0	411.0	x-ray diffraction	1.85	2.0	4R7A	Q09028
A	1.0	790.0	x-ray diffraction	2.4	2.0	1H2U	Q09161
A	1.0	1835.0	solution nmr	-1.0	323.0	2MZD	Q09472
E	1.0	5669.0	x-ray diffraction	2.51	5654.0	4FTG	Q09666
A	1.0	274.0	x-ray diffraction	2.3	3.0	2V0O	Q0JRZ9
A	1.0	131.0	x-ray diffraction	1.53	1.0	4A60	Q0Z7S8
A	1.0	570.0	x-ray diffraction	1.65	74.0	5AJP	Q10471
B	1.0	583.0	x-ray diffraction	3.0	12.0	4P6Z	Q10567
A	1.0	283.0	x-ray diffraction	2.6	34.0	1ISG	Q10588
T	1.0	158.0	x-ray diffraction	3.0	4.0	4P6Z	Q10589
A	1.0	616.0	x-ray diffraction	2.51	439.0	4EGX	Q12756
C	1.0	403.0	x-ray diffraction	3.0	343.0	1UKL	Q12772
C	1.0	244.0	x-ray diffraction	2.91	154.0	3CO7	Q12778
A	1.0	1182.0	solution nmr	-1.0	257.0	2K44	Q12791
A	1.0	435.0	x-ray diffraction	2.0	22.0	2PE4	Q12794
A	1.0	758.0	x-ray diffraction	2.05	562.0	3RCQ	Q12797
C	1.0	2350.0	solution nmr	-1.0	1246.0	2DRN	Q12802
A	1.0	611.0	solution nmr	-1.0	1.0	2L0W	Q12809
A	1.0	113.0	solution nmr	-1.0	2.0	5AJ1	Q12824
A	1.0	3037.0	x-ray diffraction	2.0	2865.0	2F6J	Q12830
A	1.0	478.0	x-ray diffraction	2.04	165.0	4GGA	Q12834
B	1.0	480.0	x-ray diffraction	2.5	140.0	4QU7	Q12849
A	1.0	431.0	x-ray diffraction	1.99	150.0	5CEP	Q12852
A	1.0	903.0	solution nmr	-1.0	133.0	2EE2	Q12860
A	1.0	863.0	solution nmr	-1.0	373.0	2DBJ	Q12866
A	1.0	522.0	solution nmr	-1.0	189.0	2E60	Q12872
A	1.0	107.0	solution nmr	-1.0	71.0	2DT7	Q12874
E	1.0	1464.0	x-ray diffraction	1.91	1460.0	3NFL	Q12879
A	1.0	757.0	x-ray diffraction	2.6	39.0	1Z68	Q12884
C	1.0	1977.0	x-ray diffraction	2.5	1488.0	1KZY	Q12888
A	1.0	336.0	x-ray diffraction	1.5	29.0	1FL0	Q12904
A	1.0	604.0	x-ray diffraction	1.9	525.0	3P1X	Q12906
A	1.0	1311.0	solution nmr	-1.0	366.0	2DLE	Q12913
A	1.0	2482.0	x-ray diffraction	1.3	1358.0	3LNY	Q12923
A	1.0	784.0	solution nmr	-1.0	699.0	2E8M	Q12929
A	1.0	553.0	x-ray diffraction	3.1	69.0	4Z1G	Q12931
A	1.0	501.0	x-ray diffraction	2.0	15.0	1D01	Q12933
A	1.0	4187.0	x-ray diffraction	2.1	4088.0	4O6X	Q12955
A	1.0	904.0	x-ray diffraction	2.3	220.0	4AMH	Q12959
B	1.0	212.0	x-ray diffraction	2.56	113.0	4J7I	Q12962
A	1.0	893.0	solution nmr	-1.0	788.0	2B3A	Q12967
B	1.0	154.0	x-ray diffraction	1.33	143.0	2XRW	Q12968
B	1.0	214.0	x-ray diffraction	2.1	158.0	3V4Y	Q12972
A	1.0	190.0	solution nmr	-1.0	146.0	2KA2	Q12983
A	1.0	805.0	x-ray diffraction	1.65	430.0	3QXM	Q13002
A	1.0	935.0	x-ray diffraction	2.1	432.0	4NXQ	Q13009
A	1.0	315.0	x-ray diffraction	1.95	50.0	2VRE	Q13011
A	1.0	1456.0	solution nmr	-1.0	1245.0	2EE4	Q13017
A	1.0	161.0	x-ray diffraction	1.79	1.0	2QPW	Q13029
A	1.0	130.0	x-ray diffraction	2.0	86.0	4N6J	Q13033
A	1.0	480.0	x-ray diffraction	2.2	16.0	3COM	Q13043
A	1.0	84.0	solution nmr	-1.0	10.0	2CT2	Q13049
A	1.0	244.0	x-ray diffraction	1.8	141.0	2VM5	Q13075
C	1.0	243.0	x-ray diffraction	2.8	181.0	3M0D	Q13077
A	1.0	427.0	x-ray diffraction	2.1	49.0	3D5E	Q13093
B	1.0	241.0	solution nmr	-1.0	1.0	2ROR	Q13094
A	1.0	505.0	x-ray diffraction	4.08	77.0	4D18	Q13098
A	1.0	581.0	solution nmr	-1.0	1.0	2N26	Q13105
A	1.0	930.0	x-ray diffraction	2.4	296.0	2Y6E	Q13107
A	1.0	568.0	x-ray diffraction	3.5	43.0	1KZZ	Q13114
A	1.0	336.0	x-ray diffraction	2.9	194.0	3EZZ	Q13115
A	1.0	423.0	solution nmr	-1.0	359.0	2EPA	Q13118
A	1.0	281.0	x-ray diffraction	2.1	9.0	3OZD	Q13126
B	1.0	57.0	solution nmr	-1.0	43.0	2CZY	Q13127
A	1.0	559.0	x-ray diffraction	2.95	20.0	4RED	Q13131
A	1.0	447.0	x-ray diffraction	2.4	204.0	3IPU	Q13133
C	1.0	1202.0	x-ray diffraction	1.8	1195.0	1N7F	Q13136
D	1.0	405.0	x-ray diffraction	2.55	21.0	4HAN	Q13137
A	1.0	715.0	x-ray diffraction	2.0	548.0	3JUI	Q13144
A	1.0	269.0	x-ray diffraction	2.75	96.0	4IUF	Q13148
A	1.0	545.0	x-ray diffraction	2.2	74.0	4ZJJ	Q13153
I	1.0	320.0	x-ray diffraction	2.84	2.0	4DPG	Q13155
A	1.0	192.0	solution nmr	-1.0	1.0	1A1Z	Q13158
A	1.0	271.0	x-ray diffraction	2.49	73.0	3TKP	Q13162
A	1.0	130.0	x-ray diffraction	1.83	5.0	2O2V	Q13163
A	1.0	400.0	x-ray diffraction	2.8	40.0	4B99	Q13164
E	1.0	135.0	x-ray diffraction	2.86	122.0	3PCS	Q13177
C	1.0	173.0	x-ray diffraction	2.4	29.0	3DM1	Q13185
A	1.0	512.0	x-ray diffraction	1.4	26.0	4L0N	Q13188
C	1.0	248.0	x-ray diffraction	2.7	242.0	3EFO	Q13190
A	1.0	973.0	x-ray diffraction	2.21	38.0	3ZNI	Q13191
A	1.0	310.0	x-ray diffraction	1.9	160.0	4JMK	Q13202
A	1.0	278.0	x-ray diffraction	2.15	47.0	2PL3	Q13206
B	1.0	365.0	x-ray diffraction	3.31	1.0	4A11	Q13216
A	1.0	455.0	x-ray diffraction	3.0	35.0	2Y4T	Q13217
A	1.0	90.0	solution nmr	-1.0	53.0	2L5G	Q13227
A	1.0	387.0	x-ray diffraction	1.0	22.0	4WJX	Q13231
A	1.0	169.0	x-ray diffraction	2.3	18.0	1ZS6	Q13232
A	1.0	120.0	solution nmr	-1.0	55.0	2CUD	Q13239
A	1.0	180.0	x-ray diffraction	2.6	57.0	1B6E	Q13241
A	1.0	232.0	x-ray diffraction	2.42	28.0	1M4U	Q13253
A	1.0	846.0	x-ray diffraction	1.9	35.0	3KS9	Q13255
A	1.0	205.0	solution nmr	-1.0	1.0	1KLQ	Q13257
A	1.0	108.0	solution nmr	-1.0	31.0	2ERS	Q13261
A	1.0	812.0	x-ray diffraction	1.8	203.0	2YVR	Q13263
A	1.0	139.0	x-ray diffraction	2.69	1.0	4FCM	Q13283
A	1.0	461.0	x-ray diffraction	2.4	218.0	4QJR	Q13285
B	1.0	286.0	x-ray diffraction	1.1	275.0	1D4T	Q13291
A	1.0	407.0	x-ray diffraction	1.9	72.0	1ZSX	Q13303
M	1.0	419.0	x-ray diffraction	2.8	93.0	1FQV	Q13309
A	1.0	591.0	x-ray diffraction	2.6	167.0	3HK0	Q13322
A	1.0	482.0	x-ray diffraction	2.5	1.0	4HOT	Q13325
B	1.0	691.0	x-ray diffraction	2.15	165.0	4PBZ	Q13330
A	1.0	1942.0	x-ray diffraction	2.0	30.0	2FH7	Q13332
C	1.0	738.0	solution nmr	-1.0	687.0	2MD8	Q13342
B	1.0	85.0	solution nmr	-1.0	22.0	2MBH	Q13351
A	1.0	457.0	x-ray diffraction	1.65	280.0	1ZKC	Q13356
B	1.0	467.0	x-ray diffraction	3.6	1.0	2NYM	Q13362
A	1.0	353.0	x-ray diffraction	2.38	28.0	4LCE	Q13363
A	1.0	1073.0	x-ray diffraction	2.9	656.0	1SOJ	Q13370
A	1.0	1616.0	x-ray diffraction	1.6	1457.0	2HA8	Q13395
C	1.0	170.0	x-ray diffraction	2.9	31.0	2C2V	Q13404
A	1.0	575.0	x-ray diffraction	2.01	471.0	5C8H	Q13416
A	1.0	452.0	x-ray diffraction	2.0	1.0	3KMW	Q13418
C	1.0	359.0	x-ray diffraction	2.65	302.0	4F3F	Q13421
A	1.0	1083.0	x-ray diffraction	2.2	902.0	1U31	Q13423
A	1.0	200.0	x-ray diffraction	2.0	112.0	2VRF	Q13425
A	1.0	211.0	x-ray diffraction	2.3	1.0	1IK9	Q13426
A	1.0	179.0	x-ray diffraction	0.75	6.0	2WFJ	Q13427
C	1.0	240.0	x-ray diffraction	2.1	56.0	4GOJ	Q13432
A	1.0	229.0	x-ray diffraction	2.1	109.0	3AIH	Q13438
E	1.0	2243.0	x-ray diffraction	2.3	2185.0	1R4A	Q13439
A	1.0	412.0	x-ray diffraction	1.6	9.0	3O5E	Q13451
A	1.0	194.0	x-ray diffraction	1.1	44.0	4M91	Q13454
A	1.0	1014.0	x-ray diffraction	2.75	6.0	3TV7	Q13464
C	1.0	678.0	x-ray diffraction	3.1	392.0	1S9K	Q13469
A	1.0	639.0	x-ray diffraction	2.85	21.0	4CGY	Q13472
A	1.0	231.0	x-ray diffraction	2.3	23.0	4HCR	Q13477
B	1.0	318.0	x-ray diffraction	3.1	20.0	3WO4	Q13478
B	1.0	663.0	x-ray diffraction	2.1	653.0	4QSY	Q13480
B	1.0	552.0	x-ray diffraction	2.6	285.0	1U7F	Q13485
A	1.0	604.0	x-ray diffraction	1.91	26.0	2UVL	Q13489
A	1.0	616.0	x-ray diffraction	3.0	41.0	3OZ1	Q13490
A	1.0	436.0	solution nmr	-1.0	387.0	2JY8	Q13501
A	1.0	317.0	solution nmr	-1.0	189.0	2YUF	Q13506
A	1.0	1005.0	x-ray diffraction	2.25	668.0	4IJP	Q13523
B	1.0	163.0	solution nmr	-1.0	1.0	1I8H	Q13526
B	1.0	84.0	x-ray diffraction	2.1	47.0	1WKW	Q13541
A	1.0	65.0	solution nmr	-1.0	18.0	2MX4	Q13542
A	1.0	313.0	x-ray diffraction	1.8	6.0	4ITJ	Q13546
B	1.0	376.0	x-ray diffraction	3.0	8.0	4BKX	Q13547
A	1.0	301.0	x-ray diffraction	2.4	11.0	3BHH	Q13554
A	1.0	550.0	x-ray diffraction	2.25	5.0	2V7O	Q13555
A	1.0	482.0	x-ray diffraction	2.7	11.0	2W2C	Q13557
A	1.0	895.0	solution nmr	-1.0	717.0	2KQ6	Q13563
A	1.0	537.0	x-ray diffraction	2.8	1.0	2NVU	Q13564
A	1.0	483.0	x-ray diffraction	2.0	248.0	3DSH	Q13568
A	1.0	332.0	x-ray diffraction	2.79	111.0	2RBA	Q13569
B	1.0	335.0	x-ray diffraction	1.8	1.0	2QB5	Q13572
A	1.0	1571.0	x-ray diffraction	1.5	1477.0	3IEZ	Q13576
A	1.0	444.0	x-ray diffraction	2.6	58.0	4O9B	Q13586
A	1.0	517.0	x-ray diffraction	2.8	142.0	4FZS	Q13596
A	1.0	586.0	x-ray diffraction	2.6	73.0	1M7R	Q13614
A	1.0	776.0	x-ray diffraction	3.11	15.0	4P5O	Q13616
D	1.0	159.0	x-ray diffraction	3.2	1.0	4WQO	Q13617
B	1.0	381.0	x-ray diffraction	2.4	17.0	4EOZ	Q13618
C	1.0	759.0	x-ray diffraction	3.1	41.0	2HYE	Q13619
E	1.0	913.0	x-ray diffraction	7.4	195.0	4A0L	Q13620
A	1.0	1128.0	solution nmr	-1.0	1.0	2UWQ	Q13625
A	1.0	482.0	x-ray diffraction	2.6	133.0	3ANQ	Q13627
D	1.0	321.0	x-ray diffraction	2.6	4.0	4BL5	Q13630
A	1.0	168.0	x-ray diffraction	2.8	4.0	2FG5	Q13636
A	1.0	199.0	x-ray diffraction	2.8	21.0	4CYM	Q13637
A	1.0	344.0	x-ray diffraction	1.75	60.0	4CNM	Q13641
A	1.0	217.0	solution nmr	-1.0	40.0	2CUR	Q13642
A	1.0	218.0	solution nmr	-1.0	30.0	2CUQ	Q13643
R	1.0	229.0	x-ray diffraction	2.9	23.0	1J7V	Q13651
B	1.0	1542.0	x-ray diffraction	1.94	1522.0	2VAY	Q13698
D	1.0	484.0	x-ray diffraction	1.85	24.0	2H62	Q13705
A	1.0	245.0	x-ray diffraction	1.86	28.0	5A2F	Q13740
B	1.0	136.0	x-ray diffraction	2.5	79.0	3LKX	Q13765
B	1.0	43.0	x-ray diffraction	2.24	19.0	3MQP	Q13794
A	1.0	2477.0	x-ray diffraction	2.3	8.0	3FB2	Q13813
A	1.0	913.0	x-ray diffraction	2.6	55.0	4ZGA	Q13822
A	1.0	339.0	x-ray diffraction	2.5	74.0	2ZQR	Q13825
A	1.0	721.0	x-ray diffraction	2.8	244.0	1XM9	Q13835
A	1.0	428.0	x-ray diffraction	2.7	45.0	1XTJ	Q13838
A	1.0	454.0	x-ray diffraction	2.59	2.0	1CB5	Q13867
H	1.0	293.0	x-ray diffraction	3.35	25.0	2NN6	Q13868
A	1.0	513.0	x-ray diffraction	1.45	33.0	2HLQ	Q13873
A	1.0	174.0	solution nmr	-1.0	1.0	2KGT	Q13882
A	1.0	457.0	solution nmr	-1.0	365.0	2EBT	Q13887
A	1.0	386.0	solution nmr	-1.0	328.0	1Z60	Q13888
A	1.0	284.0	x-ray diffraction	1.93	61.0	2ICK	Q13907
C	1.0	1688.0	x-ray diffraction	2.0	47.0	1T0J	Q13936
B	1.0	189.0	x-ray diffraction	2.65	1.0	3E3R	Q13938
A	1.0	456.0	x-ray diffraction	1.67	139.0	1ZKL	Q13946
B	1.0	141.0	x-ray diffraction	2.6	2.0	1E50	Q13951
B	1.0	120.0	x-ray diffraction	1.5	39.0	4CSR	Q13952
A	1.0	366.0	x-ray diffraction	1.99	105.0	4KU8	Q13976
A	1.0	142.0	x-ray diffraction	1.47	34.0	4Y89	Q14002
A	1.0	1332.0	solution nmr	-1.0	1103.0	1X6D	Q14005
A	1.0	1080.0	x-ray diffraction	2.5	852.0	4QMJ	Q14008
A	1.0	89.0	solution nmr	-1.0	1.0	1X5S	Q14011
A	1.0	314.0	x-ray diffraction	2.7	9.0	4FG7	Q14012
A	1.0	142.0	x-ray diffraction	2.0	1.0	1T3X	Q14019
B	1.0	63.0	solution nmr	-1.0	1.0	2L0Y	Q14061
B	1.0	355.0	x-ray diffraction	3.2	98.0	2Z5N	Q14103
